id,category,hook_type,post,cta,status,notes
1,副業・収益化,言い切り,"「副業で月5万」が目標の人、
全員同じミスしてる。

ノウハウを集めすぎ。

「あと1記事読んだら始めよう」
「あのツール試してから…」

これ、永遠に始まらないやつ。

稼いでる人は例外なく
情報3割で動いてる。

残り7割は走りながら覚えた。

完璧に準備してから始めた人、
見たことある？

俺はない。

今日1個だけでいいから
手を動かしてみて。

「調べる」じゃなくて「やる」。
これだけで上位10%に入れる。",いいねで自分に約束しよう,draft,広い市場×言い切り×行動喚起
2,時間術,逆張り,"「忙しくて時間がない」

って言う人ほど
スマホのスクリーンタイム
5時間超えてる説。

厳しいこと言うけど、
時間がないんじゃなくて
優先順位がバグってるだけ。

1日1時間を副業に回すだけで
年間365時間。

これ、フルタイム2ヶ月分。

「時間ない」は言い訳じゃなくて
思い込み。

スクリーンタイム見てから
もう一回言ってみて。",スクリーンタイム何時間だった？リプで教えて,draft,賛否両論テーマ×データ×リプ誘導
3,個人開発,共感→気づき,"個人開発で一番キツいのは
コードを書くことじゃない。

「誰にも使われない」こと。

3ヶ月かけて作ったサービス、
ローンチして反応ゼロ。

これ、マジで心折れる。
経験者ならわかるはず。

でも原因はほぼ1つ。

作る前に「誰が使うか」を
1人も特定してなかった。

たった1人でいい。
「この人の、この悩みを解決する」

これ決めてから作ると
全部変わる。",経験ある人🙋‍♂️,draft,広い共感×個人開発者向け×議論誘発
4,SaaS収益化,ストーリー型,"月収0→10万を
個人SaaSで達成した時、

一番効いたのは
機能追加でもUI改善でもなかった。

「既存ユーザー5人にDMして
困ってること聞いた」

これだけ。

そこで出た悩みを
そのまま機能にしたら
解約率が半分になった。

新規より既存。
想像より直接聞く。

ユーザーの声は
最強のロードマップ。",実践してる人いたらリプで共有してほしい,draft,ストーリー×SaaS×フォロワーリサーチ戦略の実践例
5,X運用,メタ・ノウハウ,"Xで伸びない人の投稿、
9割が同じ病気にかかってる。

「丁寧すぎ病」

「〜かもしれません」
「一概には言えませんが」
「個人の感想です」

配慮してるつもりだろうけど、
読んだ人の感情は1ミリも動かない。

バズってる投稿を見てみ。
全部言い切ってる。

言い切ると怖い？

大丈夫。
「考え方」に対して言い切れば
炎上しない。

人を否定するな。
常識を否定しろ。",次のポストで試してみて,draft,Tips②③の実践解説×広い市場（X運用者全般）
6,マインドセット,対立構造,"「まずは副業から始めるべき」
vs
「稼ぎたいなら脱サラしろ」

正直、どっちも正解。

でも俺は副業派。

理由はシンプルで、
脱サラして月収ゼロの
プレッシャーの中で
冷静な判断ができる人間は
ほぼいないから。

焦りは判断力を殺す。

本業の安定収入がある状態で
月5万→10万→30万と
積み上げていく方が
圧倒的に再現性が高い。

「いつでも辞められる状態」を
作ってから辞める。

これが最強。",あなたはどっち派？,draft,対立構造×考え方をぶつける×リプ誘導
7,生産性,データ型,"衝撃のデータ。

人間が1日に「集中」できる時間、
たった4時間。

つまり8時間働いても
本当に生産的なのは半分以下。

これ知ってから
朝の4時間を「攻め」の時間にした。

コード書く、記事書く、
重要な意思決定する。

午後は「守り」。
メール返信、MTG、雑務。

これだけで
アウトプット量が倍になった。

残業してる場合じゃない。
集中の4時間を守れ。",試してみた人いたら結果教えて,draft,広い市場（全社会人）×データ×実践可能
8,フリーランス,問題提起,"フリーランスの9割が
「技術力」で差別化しようとして
失敗してる。

厳しい現実だけど、
技術力で差がつく時代は終わった。

ChatGPTもClaudeもある今、
コードの品質は平準化してる。

じゃあ何で差がつくか？

「この人に頼みたい」
と思わせる発信力。

技術ブログじゃなくて
「自分の考え」を発信してる人が
案件を取ってる。

スキルは前提。
選ばれる理由は「人」。",心当たりある人はいいね,draft,逆張り×広い市場（フリーランス全般）×AI時代の文脈
9,継続のコツ,共感型,"「毎日投稿しよう」

と決めて3日で止まった人、
俺以外にもいるはず。

毎日投稿が続かない理由、
意志が弱いんじゃなくて
ハードル設定がバグってるだけ。

「渾身の1投稿」を毎日？
そりゃ無理。

最初は「1行でもOK」にする。

「今日も副業やった」
これでいい。

ゼロと1の差は
1と100の差より大きい。

完璧より継続。
これガチ。",3日坊主仲間いたらリプで🙋‍♂️,draft,広い共感×継続テーマ×ハードル下げ
10,AI・テクノロジー,トレンド型,"2026年、
AIを「使う側」と「知らない側」で
収入格差がエグいことになってる。

これ、煽りじゃなくて事実。

プログラミング → AIで3倍速
ライティング → AIで下書き自動化
リサーチ → AIで1時間→10分

同じ24時間を使って
アウトプット量に3倍差がつく。

「AIに仕事奪われる」
じゃなくて
「AIを使う人に仕事奪われる」

まだ使いこなせてない人、
今がラストチャンス。
来年にはもう当たり前になってる。",使ってるAIツールをリプで共有しよう,draft,広い市場×トレンド×緊急性×リプ誘導
11,お金・節約,言い切り,"「貯金ができない」って人、
収入が少ないんじゃなくて
支出を把握してないだけ。

先月いくら使ったか
1円単位で言える？

言えないなら、
そりゃ貯まらない。

稼ぐ力を上げる前に
まず「漏れ」を止めろ。

家計簿アプリ入れて
1週間だけ全記録してみ。

自分の金の使い方に
ドン引きするから。

それが第一歩。",家計簿つけてる？リプで教えて,draft,広い市場（全社会人）×言い切り×実践可能
12,お金・投資,逆張り,"「投資は早く始めた方がいい」

これ、半分ウソ。

借金があるのにNISA始めたり、
生活防衛資金ゼロで株買ったり、

順番がバグってる人多すぎ。

正しい順番はこれ。

①生活費3ヶ月分の貯金
②借金・ローン返済
③余剰資金で投資開始

投資は「余裕のある人の遊び」
じゃなくて
「余裕を作ってからやるもの」。

焦って始めると
暴落で狼狽売りして終了。

順番守るだけで
結果が全然違う。",①②③どこまでできてる？,draft,広い市場×逆張り×対立構造（早い派vs順番派）
